ogc_fid,id,canton_id,income,houses,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
135,2310,23,46895.33333,1454.333333,16781.65028,3607.054004,3796.898952,110.0781303,3,6566.308853,10349.35787,3783.049021,0.365534661
87,1827,18,63923.25,1535.75,23901.67781,3213.323919,3382.44623,142.008524,2.916666667,7325.319649,13351.39897,6026.079321,0.451344412
136,2311,23,47962,3126.133333,17046.67305,3525.143775,3710.677658,98.0213914,3,5978.542831,9215.803866,3237.261035,0.351272779
141,2403,24,56626.85714,2037.285714,30827.80751,3729.467308,3925.755061,195.9263348,3.142857143,8547.237554,18420.65949,9873.421933,0.535997201
146,2601,26,53441.68182,1694.136364,24386.59743,3749.035792,3946.353465,162.6127829,3.045454545,7597.979358,15288.57622,7690.596857,0.503028977
148,2603,26,50743.86364,1096.136364,32408.78895,3650.043756,3842.151322,212.9282167,3.045454545,9484.808125,20019.14739,10534.33927,0.526213183
2,102,1,70422.875,1272.833333,19437.59924,3680.901081,3874.632717,131.0094324,3,6912.853715,12317.28316,5404.429444,0.438767979
7,107,1,114888.8182,9019.636364,7274.137335,3497.880276,3681.979238,49.15994331,3,3843.497874,4621.933939,778.4360644,0.168422153
69,1501,15,56266.57143,3381.285714,20820.20733,3920.776688,4127.133356,143.9820469,3.142857143,8399.326757,13536.94622,5137.619465,0.379525735
57,1200,12,101276.6667,62170,7605.517649,3325.298911,3500.314643,53.06809178,3,5684.085507,4989.371385,-694.7141216,-0.139238807
142,2404,24,64938.66667,5829.888889,13226.84067,3486.921475,3670.443658,83.62800762,3,4336.050286,7862.562497,3526.512211,0.448519451
11,111,1,81745.09091,7902.545455,7976.497651,3479.123167,3662.234913,53.36808986,3,4001.30337,5017.576692,1016.273323,0.202542659
15,243,2,59448.61905,1661.309524,22432.8589,3481.547679,3664.787031,144.9510578,3,6635.664669,13628.05098,6992.386311,0.513087772
127,2302,23,48425.2,5369.8,17109.84446,3699.474737,3894.183933,99.56782471,3,6053.931455,9361.196886,3307.265431,0.353295147
25,313,3,65959.07143,4981.714286,20636.17318,3923.643387,4130.150934,135.070002,3.142857143,7065.125074,12699.05098,5633.925904,0.443649365
26,314,3,68473.21053,3725.684211,16928.67504,3934.535201,4141.616002,110.5633658,3.157894737,6146.126217,10394.97888,4248.852667,0.408740866
137,2312,23,49907.2,8992,15583.93831,3517.412874,3702.539867,87.57093122,3,5469.082897,8233.269442,2764.186545,0.335733765
29,400,4,54518.4,1760.6,21237.8927,3665.508018,3858.429493,149.6437599,3.05,14733.9692,14069.25082,-664.7183779,-0.047246182
37,700,7,75170.63636,3802.090909,12020.73878,3563.296405,3750.838321,88.29327551,3,6310.997831,8301.183019,1990.185187,0.239747176
40,1001,10,60012.26667,1016.266667,22743.52305,3861.03496,4064.247326,138.6393243,3,9598.461993,13034.63257,3436.170579,0.263618522
133,2308,23,47451.88889,4917.555556,16310.14656,3639.797974,3831.366288,107.7472915,3,6452.68046,10130.21639,3677.535927,0.363026394
139,2401,24,64636.07692,3079.230769,13339.20712,3571.419642,3759.389097,85.660495,3,4412.268563,8053.65349,3641.384928,0.45214075
85,1825,18,53741,1865.6,26616.73491,3523.495093,3708.942203,168.546239,3,8320.483961,15846.42962,7525.945664,0.474930053
17,245,2,52738.21429,2249.357143,26432.14219,3596.529727,3785.820765,182.0761859,3,8027.856972,17118.49214,9090.635167,0.531041817
123,2228,22,104882.9149,2044.787234,13212.51355,3920.620762,4126.969223,79.44089544,3.14893617,5479.033579,7468.897358,1989.863779,0.266420019
106,2014,20,65801.92308,3492.538462,17398.77914,3710.498107,3905.787481,115.2710047,3,6687.195213,10837.58306,4150.387848,0.382962495
111,2104,21,48163.92593,2318.037037,32624.07349,3098.419192,3261.493886,229.3756677,2.703703704,11101.58754,21565.50866,10463.92112,0.485215595
